size,threads,runtime,runtimesd,energy,energysd
500,1,0.43432614,0.00021191,6.46522713,0.11348988
500,2,0.21758951,0.00026048,4.02305031,0.24082612
500,3,0.15004447,0.00809214,3.29760313,0.17878942
500,4,0.10955469,0.00047450,2.76455832,0.03638843
500,5,0.09152850,0.00749975,2.56375360,0.10466632
500,6,0.07570423,0.00610282,2.40148211,0.10824022
500,7,0.06398858,0.00301052,2.25089359,0.04427316
500,8,0.05571040,0.00013172,2.12976432,0.01461455
500,9,0.05523330,0.00285138,2.13721919,0.04282064
500,10,0.05417362,0.00350740,2.10827184,0.04616997
500,11,0.05235156,0.00174518,2.08363318,0.02442460
500,12,0.05174309,0.00026130,2.08657646,0.01529536
500,13,0.04996676,0.00041278,2.05044389,0.02891487
500,14,0.04915129,0.00026815,2.04843187,0.01329263
500,15,0.04792012,0.00183473,2.02953148,0.03634532
500,16,0.04780866,0.00013105,2.02930021,0.01134965
1000,1,3.52683473,0.01227667,53.79283142,1.75907826
1000,2,1.76277220,0.00606621,33.51005936,0.76702750
1000,3,1.22094393,0.07001697,27.58694077,1.44462883
1000,4,0.88505328,0.00504368,23.66793633,0.33930197
1000,5,0.73320085,0.05365789,21.99634171,0.76616579
1000,6,0.59948909,0.03752825,20.52489662,0.55339289
1000,7,0.50902677,0.00660499,19.39891815,0.23021956
1000,8,0.44553798,0.00484540,18.65994644,0.38482893
1000,9,0.44535652,0.00379800,18.77878952,0.29279473
1000,10,0.43848315,0.00333908,18.57552910,0.17561129
1000,11,0.43316966,0.00478175,18.56375504,0.27154419
1000,12,0.42695418,0.00296881,18.40406036,0.17373937
1000,13,0.42094019,0.00150486,18.22701645,0.08783578
1000,14,0.42008913,0.00435868,18.34965706,0.25412285
1000,15,0.41619098,0.00310973,18.19200516,0.19590758
1000,16,0.42895681,0.05642454,18.70090103,1.83880234
1500,1,13.54672241,0.09947330,203.93734741,4.73659086
1500,2,7.22258568,0.03210578,134.94674683,3.14128590
1500,3,5.10512304,0.87503010,109.77867126,10.12535286
1500,4,3.44081855,0.01802693,90.65067291,1.44305134
1500,5,2.84038448,0.25657141,83.46419525,3.56578231
1500,6,2.33858705,0.28007662,77.09712219,3.68115783
1500,7,1.91419244,0.22673267,71.21484375,3.51191974
1500,8,1.63062680,0.01312753,68.49628448,0.83022898
1500,9,1.81721210,0.02497329,71.43955231,1.16716588
1500,10,1.83413827,0.01482544,72.66988373,0.86347312
1500,11,1.86549759,0.01598828,74.87278748,1.07636344
1500,12,1.89245200,0.01365248,76.48777771,0.79990631
1500,13,1.93417096,0.02044698,78.44236755,1.06030905
1500,14,1.97401166,0.02203200,80.58676910,1.02398813
1500,15,2.09764314,0.03056329,84.71405029,1.84105802
1500,16,2.34630275,0.04481283,92.42823029,1.30903101
